,CORRELATION_ID,IDENTIFIER_1,VERSION_NUMBER_1,VERSION_DATE_1,IDENTIFIER_2,VERSION_NUMBER_2,VERSION_DATE_2,CONFIDENCE
362119,BLPU_906700406234_TopographicArea_osgb1000002038515128_5,906700406234,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
362120,BLPU_906700406240_TopographicArea_osgb1000002038515128_5,906700406240,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
362121,BLPU_906700406247_TopographicArea_osgb1000002038515128_5,906700406247,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
362122,BLPU_906700406251_TopographicArea_osgb1000002038515128_5,906700406251,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
362123,BLPU_906700406256_TopographicArea_osgb1000002038515128_5,906700406256,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
362124,BLPU_906700406263_TopographicArea_osgb1000002038515128_5,906700406263,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
362126,BLPU_906700406294_TopographicArea_osgb1000002038515128_5,906700406294,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
362127,BLPU_906700406297_TopographicArea_osgb1000002038515128_5,906700406297,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
362131,BLPU_906700406341_TopographicArea_osgb1000002038515128_5,906700406341,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
362439,BLPU_906700411724_TopographicArea_osgb1000002038515043_5,906700411724,,20170326000000,osgb1000002038515043,8,20150624000000,Version information is correct
362440,BLPU_906700411727_TopographicArea_osgb1000002038515128_5,906700411727,,20170326000000,osgb1000002038515128,4,20080210000000,Version information is correct
373195,BLPU_906700511926_TopographicArea_osgb1000040410595_5,906700511926,,20200226000000,osgb1000040410595,13,20180910000000,Version information is correct
373196,BLPU_906700511928_TopographicArea_osgb1000040410595_5,906700511928,,20200226000000,osgb1000040410595,13,20180910000000,Version information is correct
381919,BLPU_906700437018_TopographicArea_osgb1000040410595_5,906700437018,,20200226000000,osgb1000040410595,13,20180910000000,Version information is correct
